travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
9.616666666666667,0,Human,3,0,0,5,-9.616666666666667,"-6.439311992984546,-6.50800966517077,-6.899916073009686,-6.930788163242467"
4.483333333333333,1,Human,0,1,1,5,-4.483333333333333,"-3.3815619703316893,-3.1727726508247587,-3.1854580359939453,-3.3038161579966756"
0.65,2,Human,0,2,2,11,-0.65,"-0.6204955807157597,-1.310544909108352,-3.4010860355661343,-6.968603352067967"
3.6,3,Human,2,0,3,11,-3.6,"-2.3260661862216496,-2.511299664822966,-2.542224034570865,-2.3097803695704346"
3.5,4,Human,3,3,3,11,-3.5,"-2.4308667453803703,-2.538816590423067,-2.530743761291414,-2.632583717432258"
5.4,5,Human,1,4,3,12,-5.4,"-4.001328116224526,-4.1127691407780365,-4.128772388677929,-3.9956208553504147"
4.05,6,Human,1,4,4,13,-4.05,"-1.8138590460163755,-2.248636153815844,-1.8864115555740266,-1.920122326882014"
5.283333333333333,7,Human,1,4,3,15,-5.283333333333333,"-4.037994782891193,-4.054555807444703,-4.107439055344596,-3.9149541886837484"
6.816666666666666,8,Human,2,4,3,17,-6.816666666666666,"-4.489328116224527,-4.109995807444704,-4.5121057220112615,-4.382287522017082"
2.4833333333333334,9,Human,1,5,2,25,-2.4833333333333334,"-1.9451893636360236,-2.00249019947792,-2.10216435775174,-1.98779540902034"
5.583333333333333,10,Human,2,4,3,26,-5.583333333333333,"-4.199994782891194,-3.9848224741113696,-4.228105722011263,-3.926954188683749"
5.6,11,Human,2,4,3,28,-5.6,"-4.390661449557861,-3.960235807444703,-4.242105722011262,-4.324954188683748"
2.8,12,Human,0,0,3,30,-2.8,"-2.2975676156439864,-2.2557912476953743,-2.277780043213581,-2.292378962323015"
4.566666666666666,13,Human,0,6,5,31,-4.566666666666666,"-4.176653322890821,-4.324503959683225,-4.376538365283613,-4.114394048476122"
4.466666666666667,14,Human,0,1,1,33,-4.466666666666667,"-3.3638286369983565,-3.1894393174914253,-3.1914580359939455,-3.272616157996676"
6.5,15,Human,2,4,3,37,-6.5,"-4.3433281162245265,-3.881329140778036,-4.400772388677928,-4.292954188683748"
0.8833333333333333,16,Human,0,7,6,39,-0.8833333333333333,"-0.8142916871819529,-1.050407967362611,-1.9828099562359145,-1.7689318636021725"
1.7,17,Human,0,8,7,55,-1.7,"-1.5381137924624229,-1.6558590808533635,-1.5697245377632694,-2.4700871133190496"
1.9,18,Human,0,9,8,56,-1.9,"-1.8402405129596162,-2.2914863789314124,-1.9407669544709805,-1.8469105493143287"
4.566666666666666,19,Human,1,8,9,57,-4.566666666666666,"-3.464923964482842,-3.65627765104602,-3.4316814299513907,-3.4372390614993305"
4.583333333333333,20,Human,1,4,3,57,-4.583333333333333,"-3.7333268119473253,-3.843895312622429,-4.120105722011262,-3.672954188683748"
2.7666666666666666,21,Human,0,10,5,58,-2.7666666666666666,"-2.3313953067434605,-2.3644441615379055,-2.3474993481914006,-2.283110615016345"
3.3,22,Human,1,11,4,60,-3.3,"-2.2703477392203273,-2.46263959721015,-2.273394295249656,-2.386842387735312"
4.1,23,Human,0,7,9,61,-4.1,"-3.153450367170626,-2.920847612191025,-2.926434118643858,-3.01401391888649"
4.183333333333334,24,Human,1,12,10,69,-4.183333333333334,"-3.701349168956706,-3.7148835049085096,-4.011896605872904,-3.6513377582877933"
2.8333333333333335,25,Human,1,11,3,72,-2.8333333333333335,"-3.0028407475301133,-2.7602727650425165,-3.0853057565718864,-2.9147564857476467"
2.4166666666666665,26,Human,0,13,11,72,-2.4166666666666665,"-1.9321286201541814,-2.080270135411976,-1.924137992706082,-1.9847165452214006"
4.916666666666667,27,Human,0,11,3,73,-4.916666666666667,"-3.83848474508594,-3.638007506599473,-3.6349112719241763,-3.802777484211828"
4.316666666666666,28,Human,1,11,3,75,-4.316666666666666,"-3.5689392646907576,-3.6031861732661388,-3.654595684206008,-3.490110817545161"
3.933333333333333,29,Human,2,11,2,77,-3.933333333333333,"-3.692695464362851,-3.7541897657551146,-3.6614605193184544,-3.6179131811111773"
4.366666666666666,30,Human,1,4,3,77,-4.366666666666666,"-3.683326811947325,-3.8138063834312765,-3.742632152514077,-4.086287522017082"
5.733333333333333,31,Human,3,11,3,79,-5.733333333333333,"-3.7771514117526057,-3.6015275065994725,-3.6415779385908427,-3.945444150878494"
2.2666666666666666,32,Human,0,0,12,80,-2.2666666666666666,"-1.411402090152841,-1.2333344113345155,-1.7353931820616333,-1.713404386543426"
4.283333333333333,33,Human,1,4,3,81,-4.283333333333333,"-3.666660145280658,-3.7574127834312767,-3.71596548584741,-4.056954188683749"
4.533333333333333,34,Human,0,13,4,82,-4.533333333333333,"-3.2042690838754506,-3.1768805284532813,-2.9659403639699224,-2.933920056143407"
4.366666666666666,35,Human,3,14,3,82,-4.366666666666666,"-2.0762374254237335,-2.090317070586334,-2.0842932210465186,-2.4998095825803324"
5.666666666666667,36,Human,0,11,3,82,-5.666666666666667,"-3.9911514117526066,-3.603106173266139,-3.644911271924176,-3.966777484211827"
6.6,37,Human,3,0,2,82,-6.6,"-4.041584215166455,-3.9989131733766277,-4.266302434779715,-4.518754571130834"
4.216666666666667,38,Human,1,4,3,83,-4.216666666666667,"-3.6399934786139916,-3.7034394500979437,-3.7292988191807437,-3.8396208553504145"
4.25,39,Human,1,4,3,86,-4.25,"-3.6599934786139916,-3.7255471834312766,-3.7259654858474103,-4.054954188683748"
1.8666666666666667,40,Human,3,0,3,88,-1.8666666666666667,"-1.9567284159713267,-2.2557912476953743,-2.277780043213581,-1.7783102953760501"
4.233333333333333,41,Human,1,11,3,89,-4.233333333333333,"-3.552272598024091,-3.6870481386129113,-3.6282446052575095,-3.9501108175451605"
4.166666666666667,42,Human,1,11,3,91,-4.166666666666667,"-3.552272598024091,-3.661264671946245,-3.6182446052575097,-3.9507774842118275"
6.533333333333333,43,Human,2,11,2,92,-6.533333333333333,"-4.6469563714902815,-4.734856432421782,-4.791765394768419,-4.4416638782222755"
4.016666666666667,44,Human,1,4,3,93,-4.016666666666667,"-3.6333268119473248,-3.5780933167646105,-3.884772388677929,-3.5461927358546848"
4.15,45,Human,1,11,3,94,-4.15,"-3.5856059313574242,-3.6301724052795787,-3.614911271924176,-3.9334441508784943"
