travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
3.6166666666666667,663,AV,3,7,9,1220,4.139166666666667,"0,0,0,0"
4.016666666666667,152,AV,1,16,12,286,4.139166666666667,"0,0,0,0"
5.183333333333334,273,AV,2,16,9,481,4.139166666666667,"0,0,0,0"
6.0,145,AV,3,11,3,269,4.139166666666667,"0,0,0,0"
6.15,73,AV,1,4,16,152,4.139166666666667,"0,0,0,0"
5.183333333333334,61,AV,1,1,1,134,4.139166666666667,"0,0,0,0"
2.433333333333333,173,AV,0,0,3,320,4.139166666666667,"0,0,0,0"
7.833333333333333,320,AV,1,36,16,579,4.139166666666667,"0,0,0,0"
5.583333333333333,616,AV,0,4,84,1124,4.139166666666667,"0,0,0,0"
2.216666666666667,589,AV,0,17,16,1075,4.139166666666667,"0,0,0,0"
4.716666666666667,301,AV,2,4,20,533,4.139166666666667,"0,0,0,0"
5.566666666666666,457,AV,0,17,5,861,4.139166666666667,"0,0,0,0"
3.7333333333333334,129,AV,0,4,20,245,4.139166666666667,"0,0,0,0"
6.05,489,AV,0,1,1,899,4.139166666666667,"0,0,0,0"
5.833333333333333,319,AV,3,8,48,578,4.139166666666667,"0,0,0,0"
5.433333333333334,422,AV,1,0,5,794,4.139166666666667,"0,0,0,0"
3.933333333333333,285,AV,3,49,3,507,4.139166666666667,"0,0,0,0"
5.066666666666666,526,AV,0,1,1,964,4.139166666666667,"0,0,0,0"
5.183333333333334,567,AV,0,1,1,1046,4.139166666666667,"0,0,0,0"
7.283333333333333,519,AV,1,81,2,944,4.139166666666667,"0,0,0,0"
7.533333333333333,461,AV,1,1,10,862,4.139166666666667,"0,0,0,0"
5.733333333333333,84,AV,0,11,3,171,4.139166666666667,"0,0,0,0"
5.516666666666667,633,AV,3,16,9,1158,4.139166666666667,"0,0,0,0"
1.9166666666666667,40,AV,3,0,3,88,4.139166666666667,"0,0,0,0"
5.1,456,AV,0,1,1,860,4.139166666666667,"0,0,0,0"
